"halkaName","blockCode","localFiles","dbPages","voters","ocrProcessed","uploadMatch","hasLocalFolder","notes"
"LA41","1854001","10","20","198","20","false","true","10 DB page(s) missing locally"
"LA41","1854002","4","4","69","4","true","true",""
"LA41","1854003","3","3","12","3","true","true",""
"LA41","1854004","4","4","56","4","true","true",""
"LA41","1854005","7","7","122","7","true","true",""
"LA41","1854006","3","3","14","3","true","true",""
"LA41","1854007","5","5","74","5","true","true",""
"LA41","1854008","5","5","70","5","true","true",""
"LA41","1854009","5","5","97","5","true","true",""
"LA41","1854010","5","5","60","5","true","true",""
"LA41","1854011","3","3","29","3","true","true",""
"LA41","1854012","5","5","53","5","true","true",""
"LA41","1854013","8","8","161","8","true","true",""
"LA41","1854014","7","7","143","7","true","true",""
"LA41","1854015","5","5","69","5","true","true",""
"LA41","1854016","7","7","140","7","true","true",""
"LA41","1854017","5","5","74","5","true","true",""
"LA41","1854018","5","5","87","5","true","true",""
"LA41","1854019","4","4","41","4","true","true",""
"LA41","1854020","4","4","46","4","true","true",""
"LA41","1854021","3","3","44","3","true","true",""
"LA41","1854022","3","3","36","3","true","true",""
"LA41","1854023","3","3","10","3","true","true",""
"LA41","1854024","3","3","6","3","true","true",""
"LA41","1854025","3","3","2","3","true","true",""
"LA41","1854026","6","6","13","6","true","true",""
"LA41","1854027","3","3","19","3","true","true",""
"LA41","1854028","3","3","18","3","true","true",""
"LA41","1854029","8","8","133","8","true","true",""
"LA41","1854030","3","3","13","3","true","true",""
"LA41","1854031","3","3","24","3","true","true",""
"LA41","1854032","3","3","27","3","true","true",""
"LA41","1854033","3","3","5","3","true","true",""
"LA41","1854034","3","3","23","3","true","true",""
"LA41","1854035","3","3","37","3","true","true",""
"LA41","1854036","4","4","48","4","true","true",""
"LA41","1854037","3","3","28","3","true","true",""
"LA41","1854038","3","3","25","3","true","true",""
"LA41","1854039","3","3","24","3","true","true",""
"LA41","1854041","2","2","1","2","true","true",""
"LA41","1854042","3","3","19","3","true","true",""
"LA41","1854043","3","3","18","3","true","true",""
"LA41","1854044","4","4","42","4","true","true",""
"LA41","1854045","3","3","12","3","true","true",""
"LA41","1854046","6","6","93","6","true","true",""
"LA41","1854047","7","7","58","7","true","true",""
